Band,Album,Genres,Score
Maud the Moth,The Distaff,Progressive Rock,5.0
Kanonenfieber,Die Urkatastrophe,Black Metal,5.0
Sacred Outcry,Towers of Gold,Heavy Metal,5.0
Disillusion,Ayam,Death Metal,5.0
Fellowship,The Saberlight Chronicles,Power Metal,5.0
Wilderun,Epigone,Progressive Metal,5.0
Impure Wilhelmina,Antidote,Doom Metal,5.0
Ad Nauseam,Imperative Imperceptible Impulse,,5.0
Wilderun,Veil of Imagination,Death Metal,5.0
Pyrrhon,What Passes for Survival,Death Metal,5.0
Thränenkind,King Apathy,Black Metal,5.0
Killing Joke,Pylon,Hard Rock,5.0
The Gentle Storm,The Diary [Vinyl Review],Folk,5.0
Opeth,Pale Communion,,5.0
Sólstafir,Ótta,Post-Metal,5.0
Carcass,Surgical Steel,Death Metal,5.0
White Wizzard,The Devil’s Cut,,5.0
Monolithe,Monolithe III,Doom Metal,5.0
Gojira,L’Enfant Sauvage,,5.0
Black Breath,Sentenced to Life,Death Metal,5.0
Sigh,In Somniphobia,,5.0
Dodecahedron,Dodecahedron,Avant-Garde,5.0
Riot,Immortal Soul,Heavy Metal,5.0
Voyager,The Meaning of I,Heavy Metal,5.0
Rhapsody of Fire,From Chaos to Eternity,Power Metal,5.0
Falconer,Armod,Folk Metal,5.0
Moonsorrow,Varjoina Kuljemme Kuolleiden Maassa,Black Metal,5.0
Stormzone,Death Dealer,NWOBHM,5.0
Pain of Salvation,Road Salt pt. 1 – Ivory –,Progressive Rock,5.0
Rhapsody of Fire,The Frozen Tears of Angels,Power Metal,5.0
Orphaned Land,The Never Ending Way of ORwarriOR,Death Metal,5.0
The 11th Hour,Burden of Grief,Doom Metal,5.0
Vienna Teng,Inland Territory,,5.0
Amorphis,Skyforger,Progressive Metal,5.0
Iron Thrones,Visions of Light,Death Metal,5.0
Cam Girl,Flesh & Chrome,Hard Rock,4.5
Patristic,Catechesis,Black Metal,4.5
Cave Sermon,Fragile Wings,Black Metal,4.5
Structure,Heritage,Death Metal,4.5
Changeling,Changeling,Progressive Metal,4.5
Flummox,Southern Progress,Avant-Garde,4.5
Deafheaven,Lonely People with Power,Black Metal,4.5
Tómarúm,Beyond Obsidian Euphoria,Black Metal,4.5
Imperial Triumphant,Goldstar,Black Metal,4.5
Shepherds of Cassini,In Thrall to Heresy,Post-Metal,4.5
Black Narcissus,There Lingers One Who’s Long Forgotten,Instrumental Metal,4.5
Wardruna,Birna,Folk Metal,4.5
Opeth,The Last Will and Testament,Death Metal,4.5
Pyrrhon,Exhaust,Death Metal,4.5
Meer,Wheels Within Wheels,Progressive Rock,4.5
Invocation,The Archaic Sanctuary (Ritual Body Postures),Black Metal,4.5
Feind,Ambulante Hirnamputation,Death Metal,4.5
Orgone,Pleroma,Death Metal,4.5
Wormed,Omegon,Death Metal,4.5
Sunburst,Manifesto,Power Metal,4.5
Ulcerate,Cutting the Throat of God,Death Metal,4.5
Huntsmen,The Dry Land,Black Metal,4.5
Vredehammer,God Slayer,Black Metal,4.5
Hell:on,Shaman,Death Metal,4.5
OU,蘇醒 II: Frailty,Ambient,4.5
Selbst,Despondency Chord Progressions,Black Metal,4.5
In Vain,Solemn,Death Metal,4.5
Replicant,Infinite Mortality,Death Metal,4.5
Hamferð,Men Guðs hond er sterk,Doom Metal,4.5
Myrath,Karma,Folk Metal,4.5
Hulder,Verses in Oath,Black Metal,4.5
Spectral Voice,Sparagmos,Black Metal,4.5
Panopticon,The Rime of Memory,Black Metal,4.5
Convocation,No Dawn for the Caliginous Night,Death Doom,4.5
Afterbirth,In But Not Of,,4.5
KEN mode,VOID,Hardcore,4.5
Wormhole,Almost Human,Death Metal,4.5
Godthrymm,Distortions,Doom Metal,4.5
Serpent of Old,Ensemble Under the Dark Sun,Death Metal,4.5
Chained to the Bottom of the Ocean,Obsession Destruction,Doom Metal,4.5
Vvon Dogma I,The Kvlt of Glitch,Industrial Metal,4.5
Dødheimsgard,Black Medium Current,Black Metal,4.5
Sermon,Of Golden Verse,Progressive Metal,4.5
Night Demon,Outsider,Heavy Metal,4.5
To the Grave,Director’s Cuts,Deathcore,4.5
High Command,Eclipse of the Dual Moons,Heavy Metal,4.5
The Offering,Seeing the Elephant,Alternative Metal,4.5
Disillusion,Ayam,Death Metal,4.5
The Otolith,Folium Limina,Symphonic Metal,4.5
Gaerea,Mirage,Black Metal,4.5
Bong-Ra,Meditations,Instrumental Metal,4.5
Altars,Ascetic Reflection,Death Metal,4.5
Imperial Circus Dead Decadence,殯――死へ耽る想いは戮辱すら喰らい、彼方の生を愛する為に命を讃える――。,Death Metal,4.5
Kardashev,Liminal Rite,Black Metal,4.5
Cavernlight,As I Cast Ruin Upon the Lens That Reveals My Every Flaw,Doom Metal,4.5
Ou,one,Ambient,4.5
Darkher,The Buried Storm,Doom Metal,4.5
In Aphelion,Moribund,Black Metal,4.5
Sylvaine,Nova,Ambient Metal,4.5
Cult of Luna,The Long Road North,Post-Hardcore,4.5
Spider God,Black Renditions,Black Metal,4.5
Clouds,Despărțire,Death Doom,4.5
Plebeian Grandstand,Rien ne suffit,Black Metal,4.5
Diablo Swing Orchestra,Swagger & Stroll Down the Rabbit Hole,,4.5
Black Sites,Untrue,Heavy Metal,4.5
Archspire,Bleed the Future,Death Metal,4.5
1914,Where Fear and Weapons Meet,Black Metal,4.5
Bossk,Migration,Ambient Metal,4.5
Portal,Avow,Black Metal,4.5
Dordeduh,Har,Black Metal,4.5
Mānbryne,Heilsweg: O udrece ciala i tulaczce duszy,Black Metal,4.5
Zao,The Crimson Corridor,Metalcore,4.5
Paranorm,Empyrean,Death Metal,4.5
Cryptic Shift,Visitations from Enceladus,Death Metal,4.5
Panzerfaust,The Suns of Perdition – Chapter II: Render unto Eden,Black Metal,4.5
Faceless Burial,Speciation,Death Metal,4.5
Haken,VIrus,Djent,4.5
Valdrin,Effigy of Nightmares,Black Metal,4.5
Ulthar,Providence,Death Metal,4.5
Alestorm,Curse of the Crystal Coconut,Folk Metal,4.5
Black Curse,Endless Wound,Death Metal,4.5
Forlesen,Hierophant Violent,Ambient Metal,4.5
Earth Rot,Black Tides of Obscurity,Black Metal,4.5
Xenobiotic,Mordrake,Deathcore,4.5
Godthrymm,Reflections,Doom Metal,4.5
