Band,Album,Genres,Score
Maud the Moth,The Distaff Review,Progressive Rock,5.0
Kanonenfieber,Die Urkatastrophe Review,"Atmospheric Black Metal, Black Metal, Blackened Death Metal, Death Metal, Melodic Black Metal, Melodic Death Metal",5.0
Sacred Outcry,Towers of Gold Review,"Heavy Metal, Power Metal",5.0
Disillusion,Ayam Review,"Melodic Death Metal, Progressive Metal",5.0
Fellowship,The Saberlight Chronicles Review,Power Metal,5.0
Wilderun,Epigone Review,"Progressive Metal, Symphonic Metal",5.0
Impure Wilhelmina,Antidote Review,"Doom Metal, Post-Metal",5.0
Ad Nauseam,Imperative Imperceptible Impulse Review,,5.0
Wilderun,Veil of Imagination Review,"Death Metal, Melodic Death Metal, Progressive Metal, Symphonic Metal",5.0
Pyrrhon,What Passes for Survival Review,"Death Metal, Technical Death Metal",5.0
Thränenkind,King Apathy Review,"Black Metal, Post-Metal",5.0
Killing Joke,Pylon Review,"Hard Rock, Heavy Metal, Industrial Metal, post-punk",5.0
The Gentle Storm,The Diary [Vinyl Review],"Folk, Progressive Metal, Progressive Rock",5.0
Opeth,Pale Communion Review,,5.0
Sólstafir,Ótta Review,Post-Metal,5.0
Carcass,Surgical Steel Review,"Death Metal, Grind",5.0
White Wizzard,The Devil’s Cut Review,,5.0
Monolithe,Monolithe III Review,Doom Metal,5.0
Gojira,L’Enfant Sauvage Review,,5.0
Black Breath,Sentenced to Life Review,"Death Metal, Hardcore",5.0
Sigh,In Somniphobia Review,,5.0
Dodecahedron,Dodecahedron Review,"Avant-Garde, Black Metal",5.0
Riot,Immortal Soul Review,Heavy Metal,5.0
Voyager,The Meaning of I Review,"Heavy Metal, Progressive Metal",5.0
Rhapsody of Fire,From Chaos to Eternity Review,"Power Metal, Progressive Metal",5.0
Falconer,Armod Review,Folk Metal,5.0
Moonsorrow,Varjoina Kuljemme Kuolleiden Maassa Review,"Black Metal, Folk Metal, Viking Metal",5.0
Stormzone,Death Dealer Review,NWOBHM,5.0
Pain of Salvation,Road Salt pt. 1 – Ivory – Review,Progressive Rock,5.0
Rhapsody of Fire,The Frozen Tears of Angels Review,"Power Metal, Symphonic Metal",5.0
Orphaned Land,The Never Ending Way of ORwarriOR Review,"Death Metal, Folk Metal, Progressive Death",5.0
The 11th Hour,Burden of Grief Review,Doom Metal,5.0
Vienna Teng,Inland Territory,,5.0
Amorphis,Skyforger Review,Progressive Metal,5.0
Iron Thrones,Visions of Light,"Death Metal, Metalcore, Progressive Metal",5.0
Cam Girl,Flesh & Chrome Review,"Hard Rock, Heavy Metal, Melodic Metal, Punk",4.5
Patristic,Catechesis Review,"Black Metal, Blackened Death Metal, Death Metal",4.5
Cave Sermon,Fragile Wings Review,"Black Metal, Death Metal, Experimental Metal, Post-Metal, Sludge",4.5
Structure,Heritage Review,"Death Metal, Doom Metal",4.5
Changeling,Changeling Review,"Progressive Metal, Technical Death Metal",4.5
Flummox,Southern Progress Review,"Avant-Garde, Black Metal, Death Metal, Experimental Metal, Folk Metal, Melodic Metal, Progressive Metal",4.5
Deafheaven,Lonely People with Power Review,Black Metal,4.5
Tómarúm,Beyond Obsidian Euphoria,"Black Metal, Death Metal, Melodic Black Metal, Melodic Death Metal, Progressive Metal, Technical Death Metal",4.5
Imperial Triumphant,Goldstar Review,"Black Metal, Death Metal",4.5
Shepherds of Cassini,In Thrall to Heresy Review,"Post-Metal, Progressive Metal",4.5
Black Narcissus,There Lingers One Who’s Long Forgotten Review,"Instrumental Metal, Post-Metal",4.5
Wardruna,Birna Review,"Folk Metal, Not Metal",4.5
Opeth,The Last Will and Testament Review,"Death Metal, Progressive Metal",4.5
Pyrrhon,Exhaust Review,"Death Metal, Hardcore, Noise Rock, Technical Death Metal",4.5
Meer,Wheels Within Wheels Review,Progressive Rock,4.5
Invocation,The Archaic Sanctuary (Ritual Body Postures) Review,"Black Metal, Death Metal",4.5
Feind,Ambulante Hirnamputation Review,"Death Metal, Grind",4.5
Orgone,Pleroma Review,"Death Metal, Hardcore, Post-Metal, Technical Death Metal",4.5
Wormed,Omegon Review,"Death Metal, Slam, Technical Death Metal",4.5
Sunburst,Manifesto Review,"Power Metal, Progressive Metal, Symphonic Metal",4.5
Ulcerate,Cutting the Throat of God Review,Death Metal,4.5
Huntsmen,The Dry Land Review,"Black Metal, Post-Metal",4.5
Vredehammer,God Slayer Review,"Black Metal, Death Metal",4.5
Hell:on,Shaman Review,Death Metal,4.5
OU,蘇醒 II: Frailty Review,"Ambient, Progressive Metal, Progressive Rock",4.5
Selbst,Despondency Chord Progressions Review,Black Metal,4.5
In Vain,Solemn Review,"Melodic Death Metal, Progressive Metal",4.5
Replicant,Infinite Mortality Review,"Death Metal, Hardcore, Technical Death Metal",4.5
Hamferð,Men Guðs hond er sterk Review,"Doom Metal, Funeral Doom",4.5
Myrath,Karma Review,"Folk Metal, Heavy Metal, Power Metal, Progressive Metal, Symphonic Metal",4.5
Hulder,Verses in Oath Review,"Atmospheric Black Metal, Black Metal, Folk, Symphonic Metal",4.5
Spectral Voice,Sparagmos Review,"Black Metal, Death Metal, Doom Metal, Funeral Doom",4.5
Panopticon,The Rime of Memory Review,"Atmospheric Black Metal, Folk Metal",4.5
Convocation,No Dawn for the Caliginous Night Review,"Death Doom, Death Metal, Doom Metal, Funeral Doom",4.5
Afterbirth,In But Not Of Review,,4.5
KEN mode,VOID Review,"Hardcore, Noise Rock, Post-Hardcore, Post-Metal, post-punk",4.5
Wormhole,Almost Human Review,"Death Metal, Slam, Technical Death Metal",4.5
Godthrymm,Distortions Review,Doom Metal,4.5
Serpent of Old,Ensemble Under the Dark Sun Review,Blackened Death Metal,4.5
Chained to the Bottom of the Ocean,Obsession Destruction Review,"Doom Metal, Sludge, Sludge Metal",4.5
Vvon Dogma I,The Kvlt of Glitch Review,"Industrial Metal, Progressive Metal",4.5
Dødheimsgard,Black Medium Current Review,Black Metal,4.5
Sermon,Of Golden Verse Review,Progressive Metal,4.5
Night Demon,Outsider Review,Heavy Metal,4.5
To the Grave,Director’s Cuts Review,Deathcore,4.5
High Command,Eclipse of the Dual Moons Review,"Heavy Metal, Speed Metal",4.5
The Offering,Seeing the Elephant Review,"Alternative Metal, Death Metal, Deathcore, Groove Metal, Hard Rock, Heavy Metal, Metalcore, Nu Metal, Progressive Metal",4.5
Disillusion,Ayam Review,"Melodic Death Metal, Progressive Metal",4.5
The Otolith,Folium Limina Review,Symphonic Metal,4.5
